Date,Open,High,Low,Close,Adj Close,Volume
2022-02-17,93.400002,94.440002,93.330002,93.650002,87.174690,30888
2022-02-18,93.650002,94.440002,93.000000,93.550003,87.081604,42373
2022-02-21,92.779999,93.089996,91.599998,91.900002,85.545692,34004
2022-02-22,92.389999,92.730003,90.660004,90.800003,84.521759,31003
2022-02-23,90.809998,92.480003,90.620003,91.139999,84.838242,41542
2022-02-24,90.500000,90.989998,88.500000,89.650002,83.451248,53058
2022-02-25,89.650002,91.970001,89.629997,91.400002,85.080261,30324
2022-03-02,91.000000,91.400002,90.550003,90.980003,84.689301,29297
2022-03-03,90.900002,91.669998,90.419998,90.699997,84.428665,35926
2022-03-04,91.000000,91.489998,90.209999,90.550003,84.289032,26611
2022-03-07,90.550003,91.330002,90.199997,90.199997,83.963219,46319
2022-03-08,90.199997,90.949997,89.650002,90.150002,83.916695,32982
2022-03-09,90.160004,91.000000,89.230003,89.949997,83.730515,38302
2022-03-10,90.000000,91.320000,90.000000,91.150002,84.847527,22310
2022-03-11,90.879997,91.129997,90.059998,90.730003,84.456581,30187
2022-03-14,90.730003,91.150002,89.500000,89.800003,83.590897,32127
2022-03-15,89.800003,90.839996,89.800003,90.220001,83.981850,23465
2022-03-16,90.220001,90.669998,89.050003,90.370003,84.121468,33721
2022-03-17,90.199997,90.599998,90.040001,90.269997,84.028374,19362
2022-03-18,90.300003,90.629997,89.500000,90.599998,84.335571,33960
2022-03-21,90.599998,90.599998,89.830002,90.269997,84.624176,32389
2022-03-22,90.260002,91.849998,90.000000,90.900002,85.214783,26748
2022-03-23,90.900002,91.839996,90.559998,91.000000,85.308540,27269
2022-03-24,91.000000,91.570000,90.809998,91.129997,85.430397,26797
2022-03-25,90.980003,92.459999,90.849998,91.739998,86.002251,37832
2022-03-28,91.739998,92.389999,91.599998,92.050003,86.292870,27076
2022-03-29,92.050003,94.769997,91.620003,94.639999,88.720871,41437
2022-03-30,94.599998,94.889999,93.500000,94.449997,88.542755,25857
2022-03-31,94.470001,95.900002,94.470001,95.889999,89.892693,28750
2022-04-01,95.500000,98.839996,95.099998,98.379997,92.226952,125553
2022-04-04,98.379997,99.500000,98.379997,99.199997,92.995667,33762
2022-04-05,99.199997,99.980003,98.050003,98.199997,92.058197,39881
2022-04-06,99.010002,99.389999,97.910004,98.320000,92.170708,29894
2022-04-07,98.320000,98.949997,98.000000,98.019997,91.889481,26209
2022-04-08,98.019997,98.989998,98.019997,98.849998,92.667572,22963
2022-04-11,98.849998,99.870003,97.750000,97.779999,91.664490,41082
2022-04-12,97.800003,99.790001,97.800003,99.440002,93.220673,32258
2022-04-13,99.440002,100.000000,98.580002,99.430000,93.211296,37023
2022-04-14,99.440002,100.050003,98.400002,100.050003,93.792511,35818
2022-04-18,99.389999,101.010002,99.389999,100.000000,94.366074,47267
2022-04-19,100.000000,100.550003,99.430000,99.669998,94.054665,29928
2022-04-20,99.669998,100.089996,99.419998,99.699997,94.082962,30951
2022-04-22,99.699997,100.000000,99.599998,99.940002,94.309456,30178
2022-04-25,99.940002,100.400002,99.599998,99.809998,94.186775,42226
2022-04-26,99.809998,100.839996,99.809998,100.500000,94.837898,41817
2022-04-27,100.190002,100.709999,100.129997,100.650002,94.979454,22052
2022-04-28,100.650002,100.650002,98.500000,98.900002,93.328049,31678
2022-04-29,98.989998,99.790001,98.889999,99.250000,93.658333,19745
2022-05-02,99.250000,100.000000,98.500000,99.699997,94.082962,51150
2022-05-03,99.010002,100.000000,98.160004,99.370003,93.771553,24717
2022-05-04,99.370003,99.510002,97.320000,99.480003,93.875374,30931
2022-05-05,99.480003,99.480003,97.010002,97.410004,91.921989,28039
2022-05-06,97.410004,98.360001,96.239998,96.400002,90.968895,30352
2022-05-09,96.400002,96.800003,95.199997,96.000000,90.591431,33202
2022-05-10,96.000000,96.150002,95.000000,95.400002,90.025230,29847
2022-05-11,95.389999,96.129997,94.599998,95.320000,89.949730,29402
2022-05-12,95.330002,95.790001,94.900002,95.470001,90.091301,23631
2022-05-13,95.419998,98.139999,95.419998,98.000000,92.478745,28739
2022-05-16,98.000000,98.080002,97.010002,97.809998,92.299446,26087
2022-05-17,98.000000,98.500000,97.500000,98.099998,92.573105,32731
2022-05-18,98.099998,98.500000,97.209999,97.400002,91.912552,26832
2022-05-19,97.360001,97.800003,96.220001,97.790001,92.927200,24161
2022-05-20,97.000000,97.489998,96.900002,97.059998,92.233490,24351
2022-05-23,97.400002,97.500000,96.639999,96.800003,91.986435,31327
2022-05-24,96.800003,97.379997,96.129997,96.800003,91.986435,21719
2022-05-25,96.800003,97.000000,96.150002,96.570000,91.767860,20744
2022-05-26,96.510002,96.779999,96.099998,96.250000,91.463768,19919
2022-05-27,96.250000,97.050003,96.209999,97.050003,92.223999,19730
2022-05-30,97.150002,99.250000,97.150002,98.790001,93.877464,25409
2022-05-31,98.879997,99.279999,97.699997,98.209999,93.326317,26966
